,,Prefix,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Shield,subwpn\ssh3\ssh3.txt,,,261,200,0,8,12,1495,811,578,,,,,,,,,,,,,24,-5,,,,18,2,3,1,,,,,,,LSUB001
Tarz,subwpn\ssh4\ssh4.txt,,,261,750,0,12,14,1496,812,578,16,1,851,12,,,,10,20,,,,24,-5,,,,20,2,5,1,,,,,,,LSUB002
Round Shield,subwpn\ssh5\ssh5.txt,,,261,1350,0,12,16,1497,813,577,16,1,852,15,,,,10,36,,,,24,-5,,,,22,2,6,2,,,,,,,LSUB003
Buckler,subwpn\ssh6\ssh6.txt,,,261,2400,0,12,18,1498,814,577,16,1,853,18,,,,10,52,,,,24,-5,,,,24,2,8,2,,,,,,,LSUB004
Aspis,subwpn\ssh7\ssh7.txt,,,261,4600,0,12,20,1499,815,577,16,2,854,21,,,,10,68,,,,24,-5,,,,26,2,11,3,,,,,,,LSUB005
Hoplon,subwpn\ssh8\ssh8.txt,,,261,6850,0,12,22,1500,816,577,16,2,855,24,,,,10,84,,,,24,-5,,,,28,2,13,4,,,,,,,LSUB006
Kite Shield,subwpn\ssh9\ssh9.txt,,,261,10800,0,12,24,1501,817,576,16,3,856,27,,,,10,100,,,,24,-5,,,,30,2,16,5,,,,,,,LSUB007
Tower Shield,subwpn\ssh10\ssh10.txt,,,261,14500,0,12,26,1502,818,576,16,4,857,30,,,,10,114,,,,24,-5,,,,32,2,18,6,,,,,,,LSUB008
Mythril Shield,subwpn\ssh11\ssh11.txt,,,261,19950,0,12,27,1503,819,576,16,4,858,33,,,,10,128,,,,24,-5,,,,33,2,21,7,,,,,,,LSUB009
Plate Shield,subwpn\ssh12\ssh12.txt,,,261,27350,0,12,29,1504,820,576,16,5,859,36,,,,10,140,,,,24,-5,,,,35,2,24,8,,,,,,,LSUB010
Orc Shield,subwpn\ssh13\ssh13.txt,,,261,32950,0,12,30,1505,821,576,16,6,860,39,,,,10,152,,,,24,-5,,,,36,2,26,9,,,,,,,LSUB011
Blood Shield,subwpn\ssh14\ssh14.txt,,,261,43050,0,12,32,1506,822,578,16,7,861,42,,,,10,164,,,,24,-5,,,,38,2,29,10,,,,,,,LSUB012
Righteous Shield,subwpn\ssh15\ssh15.txt,,,261,51650,0,12,34,1482,823,578,16,8,862,45,,,,10,180,,,,24,-5,,,,40,2,33,11,,,,,,,LSUB013
Mighty Shield,subwpn\ssh16\ssh16.txt,,,261,63550,0,12,36,1483,824,578,16,9,863,48,,,,10,198,,,,24,-5,,,,42,2,38,13,,,,,,,LSUB014
Zephyr Defender,subwpn\ssh17\ssh17.txt,,,261,78250,0,15,38,1484,825,578,16,9,864,51,,,,10,232,,,,24,-5,,,,44,2,44,15,,,,,,,LSUB015
Silver Hearts Shield,subwpn\ssh18\ssh18.txt,,,261,96500,0,15,41,1485,826,578,16,10,865,54,,,,10,276,,,,24,-5,,,,47,2,51,17,,,,,,,LSUB016
Vivor Shield,subwpn\ssh19\ssh19.txt,,,261,118050,0,15,44,1486,827,578,16,11,866,57,,,,10,304,,,,24,-5,,,,50,2,59,20,,,,,,,LSUB017
Crimson Warlord Shield,subwpn\ssh20\ssh20.txt,,,261,137700,0,15,47,1469,828,578,16,12,867,62,,,,10,331,,,,24,-5,,,,53,2,67,23,,,,,,,LSUB018
,,,,261,183250,0,20,57,0,835,,,,,,,,,10,376,,,,24,-5,,,,63,2,104,35,,,,,,,
Aurum Warlord Shield,subwpn\ssh20\ssh20_aurum.txt,,,261,137700,0,15,47,1470,828,578,16,12,868,57,,,,10,331,,,,24,-5,,,,53,2,60,30,,,,,,,LSUB020
Attribution Shield,subwpn\atributionshield\atribution.txt,,,261,169650,0,15,49,1471,829,578,16,13,869,65,,,,10,366,,,,24,-5,,18,5,56,2,75,29,,,,,,,LSUB021
Atonement Shield,subwpn\atributionshield\atribution.txt,,,261,169650,0,15,49,1460,830,578,16,13,870,65,,,,10,366,,,,24,-5,,18,5,56,2,68,36,,,,,,,LSUB022
Foretelling Shield,SUBWPN\knight_shield\knight_shield.txt,,,261,164841,0,12,49,7739,831,578,16,12,875,60,,,,10,306,,,,24,-5,,22,10,50,2,50,24,,,,,,,LSUB023
Spider Shield,subwpn\ssh22\ssh.txt,,,261,168600,0,15,49,8674,834,578,16,12,876,60,,,,10,306,,,,24,-5,,26,10,50,2,60,14,,,,,,,LSUB024
Seraph Shield,SUBWPN\shield03_2021\shield03_2021.txt,,,261,167791,0,20,50,9445,827,578,,,,,,,,10,312,,,,24,5,,23,100,50,2,50,24,,,,,,,LSUB025
Blue Flame Shield,SUBWPN\bigforce\bigforce_1216.txt,,,261,167791,0,20,50,9446,827,578,,,,,,,,10,312,,,,24,-12,,18,10,50,2,56,19,,,,,,,LSUB026
Demon Star Shield,SUBWPN\fancy1_shield_20230629.txt,21,,261,151550,0,15,49,9662,835,578,,,,,61,,,10,306,,,,18,-75,,26,-75,56,1,224,136,,,,,,,LSUB027
,,,,261,162350,0,20,60,1537,838,,,,,,,,,10,400,,,,,,,,,66,2,95,39,,,,,,,
,,,,261,174350,0,20,61,1538,839,,,,,,,,,10,408,,,,,,,,,67,2,98,41,,,,,,,
,,,,261,186050,0,20,62,1539,840,,,,,,,,,10,416,,,,,,,,,68,2,101,42,,,,,,,
Jelly Bean Doll,subwpn\tool07\tool07.txt,,,264,6200,0,3,25,1547,841,578,16,1,871,18,,,,,,,,,14,6,,,,20,2,1,1,,,,,,,LSUB031
Choropy Doll,subwpn\tool09\tool09.txt,,,264,9500,0,3,25,1548,842,578,16,2,872,18,,,,,,,,,14,8,,,,20,2,1,1,,,,,,,LSUB032
Pumpkin Doll,subwpn\tool08\tool08.txt,,,264,13450,0,4,25,1549,843,578,16,3,873,18,,,,,,,,,14,10,,,,20,2,1,1,,,,,,,LSUB033
HoneyBee Doll,subwpn\tool10\tool10.txt,,,264,18100,0,4,25,1550,844,578,16,4,874,18,,,,,,,,,14,12,,,,20,2,1,1,,,,,,,LSUB034
