,,,,
Áß¾ÓÈ¸°ü,3DData\JUNON\House\lhouse\lhouse.txt,30,2,3DData\MData\JUNON\House\lhouse\lhouse.x
Áß°£°¡¿Á,3DData\JUNON\House\mhouse\mhouse.txt,30,2,3DData\MData\JUNON\House\mhouse\mhouse.x
¹Î°¡,3DData\JUNON\House\shouse\shouse.txt,30,2,3DData\MData\JUNON\House\shouse\shouse.x
´ëÀå°£,3DData\JUNON\House\jgtdeajanggan\jgtdeajanggan.txt,30,2,3DData\MData\JUNON\House\jgtdeajanggan\jgtdeajanggan.x
Á¾Å¾,3DData\JUNON\House\jgtTop\jgtTop.txt,30,2,3DData\MData\JUNON\House\jgtTop\jgtTop.x
°úÀÏ»óÁ¡,3DData\JUNON\House\jgtFoodshop\jgtFoodshop.txt,30,2,3DData\MData\JUNON\House\jgtFoodshop\jgtFoodshop.x
ÃÌÀåÁý,3DData\JUNON\House\JptHeadman\JptHeadman.txt,30,2,3DData\MData\JUNON\House\JptHeadman\JptHeadman.x
ÀÇº¹Á¡,3DData\JUNON\House\JptClothShop\JptClothShop.txt,30,2,3DData\MData\JUNON\House\JptClothShop\JptClothShop.x
ÀÇº¹Á¡°£ÆÇ,3DData\JUNON\House\JgtShop\JgtShop.txt,30,2,3DData\MData\JUNON\House\JgtShop\JgtShop.x
¿ìÃ¼Åë,3DData\JUNON\House\JgtPost\JgtPost.txt,30,2,3DData\MData\JUNON\House\JgtPost\JgtPost.x
new ¸®Á¨Áö¿ª,3DData\JUNON\House\JgtNewregen\JgtNewregen.txt,30,2,3DData\MData\JUNON\House\JgtNewregen\JgtNewregen.x
,,,,
