3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\day01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3DDATA\LUNAR\Sky\day01.zms,3DDATA\LUNAR\Sky\day01.dds,3DDATA\LUNAR\Sky\night01.dds,,,5,166195255,255255255,168201210,155175203,176225250,216245250,210200185,255255255,180160170,1901400160,130120210,135142250,,,,
3DDATA\LUNAR\Sky\day01.zms,3DDATA\JUNON\Sky\day01.dds,3Ddata\CUTSCENE\space01.dds,,,5,116155220,255255255,198171190,186198255,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3DDATA\LUNAR\Sky\day01.zms,3DDATA\LUNAR\Sky\night01.dds,3DDATA\LUNAR\Sky\night02.dds,,,5,166195255,255255255,168201210,155175203,176225250,216245250,210200185,255255255,180160170,1901400160,130120210,135142250,,,,
3DDATA\LUNAR\Sky\day01.zms,3DDATA\LUNAR\Sky\day01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,165188231,255255255,207185210,173170213,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\ELDEON\Sky\day01.zms,3DDATA\ELDEON\Sky\night01.dds,3DDATA\ELDEON\Sky\night01.dds,,,5,255255255,255255255,255255255,255255255,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\day02.dds,3DDATA\JUNON\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\ELDEON\Sky\day01.zms,3DDATA\ELDEON\Sky\night02.dds,3DDATA\ELDEON\Sky\night02.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3Ddata\ORO\Sky\day01.zms,3Ddata\ORO\Sky\day01.DDS,3Ddata\ORO\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
