,PROD_NUM,PROD_LEV,PROD_MP,PROD_SEC1,PROD_MAT1,PROD_QNT1,PROD_SEC2,PROD_MAT2,PROD_QNT2,PROD_SEC3,PROD_MAT3,PROD_QNT3,PROD_SEC4,PROD_MAT4,PROD_QNT4,PROD_DIF,,INDEX
¼ô¼Òµå,1,0,0,421,,5,,,,,,,,,,0,,1
·¹ÀÌÇÇ¾î,2,0,0,421,,7,,,,,,,,,,0,,2
·Õ¼Òµå,3,0,0,421,,10,,,,,,,,,,0,,3
¹«»ç°Ë,4,0,0,421,,15,,,,,,,,,,0,,4
,,,,,,,,,,,,,,,,0,,5
,,,,,,,,,,,,,,,,0,,6
,,,,,,,,,,,,,,,,0,,7
,,,,,,,,,,,,,,,,0,,8
,,,,,,,,,,,,,,,,0,,9
,,,,,,,,,,,,,,,,0,,10
¸ÞÀÌ½º,11,0,0,421,,8,,,,,,,,,,0,,11
ÇØ¸Ó,12,0,0,421,,10,,,,,,,,,,0,,12
ÇÁ·¹ÀÏ,13,0,0,421,,15,,,,,,,,,,0,,13
¸ð´×½ºÅ¸,14,0,0,421,,20,,,,,,,,,,0,,14
,,,,,,,,,,,,,,,,0,,15
,,,,,,,,,,,,,,,,0,,16
,,,,,,,,,,,,,,,,0,,17
,,,,,,,,,,,,,,,,0,,18
,,,,,,,,,,,,,,,,0,,19
,,,,,,,,,,,,,,,,0,,20
Åé´Ï°Ë,21,0,0,421,3,15,421,4,5,,,,,,,0,,21
Ç÷°Ë,22,0,0,421,4,15,421,5,5,,,,,,,0,,22
ÀÇÃµ°Ë,23,0,0,421,4,15,421,6,5,,,,,,,0,,23
¹«Çü°Ë,24,0,0,421,5,10,421,7,5,,,,,,,0,,24
¾îµÒÀÇ°Ë,25,0,0,421,6,10,421,8,5,,,,,,,0,,25
ºûÀÇ°Ë,26,0,0,421,7,10,421,8,5,,,,,,,0,,26
,,,,,,,,,,,,,,,,0,,27
,,,,,,,,,,,,,,,,0,,28
,,,,,,,,,,,,,,,,0,,29
,,,,,,,,,,,,,,,,0,,30
°íÀÎµ¹¸ÁÄ¡,31,0,0,422,23,20,,,,,,,,,,0,,31
µµ±úºñ¹æ¸ÁÀÌ,32,0,0,421,5,10,422,26,5,,,,,,,0,,32
ÇØ°ñ¸ÁÄ¡,33,0,0,421,6,10,422,27,5,,,,,,,0,,33
ºù°¢ÇØ¸Ó,34,0,0,421,7,10,422,26,5,,,,,,,0,,34
ÆÄ±«ÀÇ¸ÁÄ¡,35,0,0,421,8,10,422,27,5,,,,,,,0,,35
,,,,,,,,,,,,,,,,0,,36
,,,,,,,,,,,,,,,,0,,37
,,,,,,,,,,,,,,,,0,,38
,,,,,,,,,,,,,,,,0,,39
,,,,,,,,,,,,,,,,0,,40
,,,,,,,,,,,,,,,,0,,41
,,,,,,,,,,,,,,,,0,,42
,,,,,,,,,,,,,,,,0,,43
,,,,,,,,,,,,,,,,0,,44
,,,,,,,,,,,,,,,,0,,45
,,,,,,,,,,,,,,,,0,,46
,,,,,,,,,,,,,,,,0,,47
,,,,,,,,,,,,,,,,0,,48
,,,,,,,,,,,,,,,,0,,49
,,,,,,,,,,,,,,,,0,,50
,,,,,,,,,,,,,,,,0,,51
,,,,,,,,,,,,,,,,0,,52
,,,,,,,,,,,,,,,,0,,53
,,,,,,,,,,,,,,,,0,,54
,,,,,,,,,,,,,,,,0,,55
,,,,,,,,,,,,,,,,0,,56
,,,,,,,,,,,,,,,,0,,57
,,,,,,,,,,,,,,,,0,,58
,,,,,,,,,,,,,,,,0,,59
,,,,,,,,,,,,,,,,0,,60
,,,,,,,,,,,,,,,,0,,61
,,,,,,,,,,,,,,,,0,,62
,,,,,,,,,,,,,,,,0,,63
,,,,,,,,,,,,,,,,0,,64
,,,,,,,,,,,,,,,,0,,65
,,,,,,,,,,,,,,,,0,,66
,,,,,,,,,,,,,,,,0,,67
,,,,,,,,,,,,,,,,0,,68
,,,,,,,,,,,,,,,,0,,69
,,,,,,,,,,,,,,,,0,,70
,,,,,,,,,,,,,,,,0,,71
,,,,,,,,,,,,,,,,0,,72
,,,,,,,,,,,,,,,,0,,73
,,,,,,,,,,,,,,,,0,,74
,,,,,,,,,,,,,,,,0,,75
,,,,,,,,,,,,,,,,0,,76
,,,,,,,,,,,,,,,,0,,77
,,,,,,,,,,,,,,,,0,,78
,,,,,,,,,,,,,,,,0,,79
,,,,,,,,,,,,,,,,0,,80
,,,,,,,,,,,,,,,,0,,81
,,,,,,,,,,,,,,,,0,,82
,,,,,,,,,,,,,,,,0,,83
,,,,,,,,,,,,,,,,0,,84
