,,,,
·ç³ª¸¶À»ÀÔ±¸,3DData\LUNAR\HOUSE\lunarcenterin\lunarcenterin.txt,30,,3DData\MData\LUNAR\HOUSE\lunarcenterin\lunarcenterin.x
·ç³ª¾Æ·ç¹Í,3DData\LUNAR\HOUSE\lunararumic\lunararumic.txt,30,,3DData\MData\LUNAR\HOUSE\lunararumic\lunararumic.x
·ç³ª¾ÆÅ©¶÷,3DData\LUNAR\HOUSE\lunaracram\lunaracram.txt,30,,3DData\MData\LUNAR\HOUSE\lunaracram\lunaracram.x
·ç³ª¸¶Æ®,3DData\LUNAR\HOUSE\lunarmart\lunarmart.txt,30,,3DData\MData\LUNAR\HOUSE\lunarmart\lunarmart.x
·ç³ªÀºÇà,3DData\LUNAR\HOUSE\lunarbank\lunarbank.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbank\lunarbank.x
·ç³ªÆ÷Áö,3DData\LUNAR\HOUSE\lunarforge\lunarforge.txt,30,,3DData\MData\LUNAR\HOUSE\lunarforge\lunarforge.x
·ç³ª¸ÅÁ÷¼¥,3DData\LUNAR\HOUSE\lunarmagic\lunarmagic.txt,30,,3DData\MData\LUNAR\HOUSE\lunarmagic\lunarmagic.x
·ç³ªÀÔ±¸´Ù¸®,3DData\LUNAR\HOUSE\lunarbridge01\lunarbridge01.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbridge01\lunarbridge01.x
·ç³ª¸¶À»Áß¾Ó´Ù¸®01,3DData\LUNAR\HOUSE\lunarbridge02\lunarbridge02.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbridge02\lunarbridge02.x
·ç³ª¸¶À»Áß¾Ó´Ù¸®02,3DData\LUNAR\HOUSE\lunarbridge03\lunarbridge03.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbridge03\lunarbridge03.x
·ç³ª¸¶À»¿·´Ù¸®01,3DData\LUNAR\HOUSE\lunarbridge04\lunarbridge04.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbridge04\lunarbridge04.x
·ç³ª¸¶À»¿·´Ù¸®02,3DData\LUNAR\HOUSE\lunarbridge05\lunarbridge05.txt,30,,3DData\MData\LUNAR\HOUSE\lunarbridge05\lunarbridge05.x
·ç³ª¸¶À» Áß¾Óº®01,3DData\LUNAR\HOUSE\lunarwallcenter01\lunarwallcenter01.txt,30,,3DData\MData\LUNAR\HOUSE\lunarwallcenter01\lunarwallcenter01.x
·ç³ª¸¶À» Áß¾Óº®02,3DData\LUNAR\HOUSE\lunarwallcenter02\lunarwallcenter02.txt,30,,3DData\MData\LUNAR\HOUSE\lunarwallcenter02\lunarwallcenter02.x
