,,,,,,,,,,,,,,
3DDATA\NPC\animal\larva\larva1_bone.zmd,0,,,,,,,,,,,,,
3DDATA\NPC\animal\bee\bee_bone.zmd,0,,,,,,,,,,,,,
3DDATA\NPC\animal\ant\ant_bone.zmd,0,,,,,,,,,,,,,
3DDATA\NPC\animal\snail\snail_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\raccoon\raccoon_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\gorilla\gorilla_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\alligator\alligator_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\stagbeetle\stagbeetle_bone.zmd,0,,,,,,,,,,,,,
3DDATA\NPC\animal\mole\mole_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\pigwarrier\pigwarrier_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\lobster\lobster_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\animal\wolf\wolf_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\plant\livida\livida_bone.zmd,0,,,,,,,,,,,,,
3DDATA\NPC\etc\stony\stony_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\plant\pumpkin\pumpkin_bone.ZMD,0,,,,,,,,,,,,,
3DDATA\NPC\npc\inventor\inventor_bone.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\npc\GYPSY\GYPSY_bone.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\npc\warrior\warrior_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\magician\magician_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\ARCHBISHOP\archbishop_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\mercenaries\mercenaries_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\barkeeper\barkeeper_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\smith\smith_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\scholar\scholar_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\robber\robber_bone.ZMD,,,,,,,,,,,,,,
3DData\NPC\plant\jellybean1\jellybean2_bone.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\animal\ant3\ant3_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\plant\smallree1\smallree1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\Captain_pig1\Captain_pig1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\Pig1\Pig1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\Turtle_beetle1\Turtle_beetle1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\Queen_Bee1\Queen_Bee1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\stagbeetle\stagbeetle_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\npc\child1\child1_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\woman1\woman1_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\animal\MOP_BOSS_JD01\MOP_BOSS_JD01_Bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\nabi\nabi1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\smallGoblin1\smallGoblin1_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\Jellyjar1\Jellyjar1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\etc\CandleGhost1\CandleGhost1_bone.zmd,,,,,,,,,,,,,,
3DData\NPC\plant\jellybean2\jellybean2_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\pungsun\pungsun_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\animal\fishman1\fishman1_bone.zmd,,,,,,,,,,,,,,
3DData\NPC\animal\snail3\snail3_bone.zmd,,,,,,,,,,,,,,
3DDATA\NPC\animal\bee3\bee3_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\npc\tropical1\tropical1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\npc\tropical3\tropical3_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\npc\ban1\ban1_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\etc\kana\kana.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\spark\spark_bone.zmd,,,,,,,,,,,,,,
3Ddata\NPC\etc\stonegollem\stonegollem_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\weapon\weapon_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\etc12\etc12_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\weapondealer\weapondealer_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\guide\guide_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\cutter\cutter_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\cowboy\cowboy_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\chief\chief_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\landlady\landlady_bone.ZMD,,,,,,,,,,,,,,
3DData\NPC\animal\alligator2\alligator2_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\animal\wolf2\wolf_bone2.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\animal\mole\mole2_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\daren\daren_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\Goblinheader\Goblinheader_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\Goblin\Goblin_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\Goblinmagic\Goblinmagic_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\Goblinking\Goblinking_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\sordmaster\sordmaster_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\fairy\fairy_bone.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\animal\batman\batman_bone.ZMD,,,,,,,,,,,,,,
3DDATA\NPC\animal\batmangroup\batmangroup_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\etc\fairyfire\fairyfire_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\bowmaster\bowmaster_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\eagle\eagle_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\guard\guard_bone.ZMD,,,,,,,,,,,,,,
3Ddata\NPC\npc\bulldog\bulldog_bone.ZMD,,,,,,,,,,,,,,
