,,,,,
¿öÇÁ°ÔÀÌÆ®01,3DData\Special\Warp_gate01\Warp_gate01.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,»ê¾Ç
¿öÇÁÄÆ½Å01_·ç³ªÇà¼º,3Ddata\CUTSCENE\WARP01\Planet01_LUNA.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º04,3Ddata\CUTSCENE\WARP01\hocsung01_04.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º01,3Ddata\CUTSCENE\WARP01\hocsung01_01.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º02,3Ddata\CUTSCENE\WARP01\hocsung01_02.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º03,3Ddata\CUTSCENE\WARP01\hocsung01_03.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º05,3Ddata\CUTSCENE\WARP01\hocsung01_05.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿öÇÁÄÆ½Å01_È¤¼º06,3Ddata\CUTSCENE\WARP01\hocsung01_06.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
¿úÈ¦ ÀÌÆåÆ®¿ë ´õ¹Ì¸Þ½¬01,3Ddata\CUTSCENE\WARP01\effect01_01.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,Ç×±¸
ÀÌº¥Æ®¹Ú½º01,3DData\Special\Warpbox\Warpbox.txt,1,,3DData\MData\Special\Warp_gate01\Warp_gate01.x,ÃÊ¿ø
·ç³ª¿öÇÁ°ÔÀÌÆ®,3DData\Special\Warp_gate02\Warp_gate02.txt,1,,3DData\MData\Special\Warp_gate02\Warp_gate02.x,·ç³ª
,,,,,
