-1,3DData/NpcFace/
1,1001.dds
2,1003.dds
3,1006.dds
4,1010.dds
5,1011.dds
6,1013.dds
7,1014.dds
8,1016.dds
9,1019.dds
10,1030.dds
11,1034.dds
12,1035.dds
13,1036.dds
14,1037.dds
15,1053.dds
16,1005.dds
17,1007.dds
18,1008.dds
19,1031.dds
20,1052.dds
21,1081.dds
22,1089.dds
23,1090.dds
24,1107.dds
25,1116.dds
26,1171.dds
27,1172.dds
28,1173.dds
29,1180.dds
30,1181.dds
31,1184.dds
32,1185.dds
33,1186.dds
34,1188.dds
35,1191.dds
36,1018.dds
37,1097.dds
38,1192.dds
39,1193.dds
40,1154.dds
41,1155.dds
42,1156.dds
43,1157.dds
44,1215.dds
45,1219.dds
46,1220.dds
47,1221.dds
48,1222.dds
49,1223.dds
50,1224.dds
51,1228.dds
52,1243.dds
53,1251.dds
54,1252.dds
55,1253.dds
56,1254.dds
57,1255.dds
58,1256.dds
59,1752.dds
60,1200.dds
61,1490.dds
62,1126.dds
63,1260.dds
64,1261.dds
65,1262.dds
66,1263.dds
67,2001.dds
68,2103.dds
69,2104.dds
70,2105.dds
71,2106.dds
72,2102.dds
73,2111.dds
74,2112.dds
75,2113.dds
76,2114.dds
77,2115.dds
78,2130.dds
79,3019.dds
80,2116.dds
81,2117.dds
82,1264.dds
83,2122.dds
84,2123.dds
85,2124.dds
86,2125.dds
87,2126.dds
88,2127.dds
89,2128.dds
90,2129.dds
91,2131.dds
92,2132.dds
93,2133.dds
94,2134.dds
95,2135.dds
96,2136.dds
97,2137.dds
98,2139.dds
99,2140.dds
100,2150.dds
101,Akram50-69.dds
102,Akram70-89.dds
103,Bast.dds
104,King.dds
105,Mica.dds
106,Moldie.dds
107,Queen.dds
108,QuestBoard.dds
109,SirroFace.dds
110,OrkaFace.dds
111,BahitiFace.dds
112,FikriFace.dds
113,HetepheresFace.dds
114,GrawthFace.dds
115,AnlefFace.dds
116,NeferamunFace.dds
117,GhanimFace.dds
118,Tinesse.dds
119,LunarWizard.dds
120,TugnusFace.dds
121,JujubeFace.dds
122,NickFace.dds
123,FrancisFace.dds
124,Samara.dds
125,SikukuRed.dds
126,SikukuBrown.dds
127,SikukuElder.dds
128,SikukuShort.dds
129,Krayah.dds
130,1695.dds
131,3316.dds
132,3317.dds
133,3318.dds
134,3319.dds
135,3320.dds
136,3321.dds
137,3322.dds
138,3323.dds
139,3333.dds
140,1065.dds
141,1056.dds
142,2091.dds
143,1247.dds
144,1242.dds
145,1209.dds
146,1198.dds
147,1190.dds
148,1049.dds
149,1484.dds
150,1158.dds
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
