,,,,,,1,,100,,,,,,,,,
Garnet [1-3],1,1151,1151,1151,1151,0,,100,,,,,,,,,
Garnet [4-6],1,1152,1152,1152,1152,0,,100,,,,,,,,,
Garnet [7],1,1153,1153,1153,1153,0,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ruby [1-3],1,1156,1156,1156,1156,1,,100,,,,,,,,,
Ruby [4-6],1,1157,1157,1157,1157,1,,100,,,,,,,,,
Ruby [7],1,1158,1158,1158,1158,1,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sapphire [1-3],1,1161,1161,1161,1161,2,,100,,,,,,,,,
Sapphire [4-6],1,1162,1162,1162,1162,2,,100,,,,,,,,,
Sapphire [7],1,1163,1163,1163,1163,2,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Topaz [1-3],1,1166,1166,1166,1166,3,,100,,,,,,,,,
Topaz [4-6],1,1167,1167,1167,1167,3,,100,,,,,,,,,
Topaz [7],1,1168,1168,1168,1168,3,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Emerald [1-3],1,1171,1171,1171,1171,4,,100,,,,,,,,,
Emerald [4-6],1,1172,1172,1172,1172,4,,100,,,,,,,,,
Emerald [7],1,1173,1173,1173,1173,4,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Peridot [1-3],1,1176,1176,1176,1176,5,,100,,,,,,,,,
Peridot [4-6],1,1177,1177,1177,1177,5,,100,,,,,,,,,
Peridot [7],1,1178,1178,1178,1178,5,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Diamond iRose [1-3],1,1181,1181,1181,1181,6,,100,,,,,,,,,
Diamond iRose [4-6],1,1182,1182,1182,1182,6,,100,,,,,,,,,
Diamond iRose [7],1,1183,1183,1183,1183,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Pink Opal [1-3],1,1184,1184,1184,1184,6,,100,,,,,,,,,
Pink Opal [4-6],1,1185,1185,1185,1185,6,,100,,,,,,,,,
Pink Opal [7],1,1186,1186,1186,1186,6,,100,,,,,,,,,
Pink Opal [7],1,1187,1187,1187,1187,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Amethyst [1-3],1,1951,1951,1951,1951,6,,100,,,,,,,,,
Amethyst [4-6],1,1952,1952,1952,1952,6,,100,,,,,,,,,
Amethyst [7],1,1953,1953,1953,1953,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Red Flame,1,2019,2019,2019,2019,6,,100,,,,,,,,,
Blue Flame,1,2020,2020,2020,2020,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Black Onyx [1-3],1,1203,1203,1203,1203,6,,100,,,,,,,,,
Black Onyx [4-6],1,1204,1204,1204,1204,6,,100,,,,,,,,,
Black Onyx [7],1,1205,1205,1205,1205,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Orange Flame,1,2021,2021,2021,2021,6,,100,,,,,,,,,
Pink Flame,1,2022,2022,2022,2022,6,,100,,,,,,,,,
Silver Flame,1,2023,2023,2023,2023,6,,100,,,,,,,,,
Gold Flame,1,2024,2024,2024,2024,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tourmaline [1-3],1,1221,1221,1221,1221,6,,100,,,,,,,,,
Tourmaline [4-6],1,1222,1222,1222,1222,6,,100,,,,,,,,,
Tourmaline [7],1,1223,1223,1223,1223,6,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,
Citrine [1-3],1,1225,1225,1225,1225,6,,100,,,,,,,,,
Citrine [4-6],1,1226,1226,1226,1226,6,,100,,,,,,,,,
Citrine [7],1,1227,1227,1227,1227,6,,100,,,,,,,,,
