,,,,,
Å«³ª¹«01,3DData\JUNON\TREE\tree011\tree011.txt,1,,3DData\MData\JUNON\TREE\tree011\tree011.x,»ê¾Ç
Å«³ª¹«02,3DData\JUNON\TREE\tree019\tree019.txt,1,,3DData\MData\JUNON\TREE\tree019\tree019.x,
Å«³ª¹«03,3DData\JUNON\TREE\tree021\tree021.txt,1,,3DData\MData\JUNON\TREE\tree021\tree021.x,
Å«³ª¹«04,3DData\JUNON\TREE\tree025\tree025.txt,1,,3DData\MData\JUNON\TREE\tree025\tree025.x,
Å«³ª¹«05,3DData\JUNON\TREE\tree012\tree012.txt,1,,3DData\MData\JUNON\TREE\tree012\tree012.x,
Å«³ª¹«06,3DData\JUNON\TREE\tree020\tree020.txt,1,,3DData\MData\JUNON\TREE\tree020\tree020.x,
¼±ÀÎÀå01,3DData\JUNON\TREE\tree002\tree002.txt,1,,3DData\MData\JUNON\TREE\tree002\tree002.x,
¼±ÀÎÀå02,3DData\JUNON\TREE\tree003\tree003.txt,1,,3DData\MData\JUNON\TREE\tree003\tree003.x,
¼±ÀÎÀå03,3DData\JUNON\TREE\tree006\tree006.txt,1,,3DData\MData\JUNON\TREE\tree006\tree006.x,
¼±ÀÎÀå04,3DData\JUNON\TREE\tree016\tree016.txt,1,,3DData\MData\JUNON\TREE\tree016\tree016.x,
¼±ÀÎÀå05,3DData\JUNON\TREE\tree017\tree017.txt,1,,3DData\MData\JUNON\TREE\tree017\tree017.x,
¼±ÀÎÀå06,3DData\JUNON\TREE\tree026\tree026.txt,1,,3DData\MData\JUNON\TREE\tree026\tree026.x,
µ¹³ª¹«,3DData\JUNON\TREE\tree004\tree004.txt,1,,3DData\MData\JUNON\TREE\tree004\tree004.x,
Á×Àº³ª¹«01,3Ddata\JUNON\TREE\jddietree01\jddietree01.txt,1,,3Ddata\MData\JUNON\TREE\jddietree01\jddietree01.x,
Á×Àº³ª¹«02,3Ddata\JUNON\TREE\jddietree02\jddietree02.txt,1,,3Ddata\MData\JUNON\TREE\jddietree02\jddietree02.x,
,,,,,
,,,,,
ÀÙ³ª¹«01,3DData\JUNON\TREE\tree007\tree007.txt,1,,3DData\MData\JUNON\TREE\tree007\tree007.x,
ÀÙ³ª¹«02,3DData\JUNON\TREE\tree009\tree009.txt,1,,3DData\MData\JUNON\TREE\tree009\tree009.x,
Ä§¿±¼ö01,3DData\JUNON\TREE\tree010\tree010.txt,1,,3DData\MData\JUNON\TREE\tree010\tree010.x,
ÀÙ³ª¹«03,3DData\JUNON\TREE\tree008\tree008.txt,1,,3DData\MData\JUNON\TREE\tree008\tree008.x,
¾ßÀÚ¼ö05,3DData\JUNON\TREE\tree015\tree015.txt,1,,3DData\MData\JUNON\TREE\tree015\tree015.x,
Ä§¿±¼ö02,3DData\JUNON\TREE\tree018\tree018.txt,1,,3DData\MData\JUNON\TREE\tree018\tree018.x,
°í¸ñ³ª¹«01,3DData\JUNON\TREE\tree022\tree022.txt,1,,3DData\MData\JUNON\TREE\tree022\tree022.x,
°í¸ñ³ª¹«02,3DData\JUNON\TREE\tree023\tree023.txt,1,,3DData\MData\JUNON\TREE\tree023\tree023.x,
°í¸ñ³ª¹«03,3DData\JUNON\TREE\tree024\tree024.txt,1,,3DData\MData\JUNON\TREE\tree024\tree024.x,
Àß¸°°í¸ñ³ª¹«,3DData\JUNON\TREE\tree027\tree027.txt,1,,3DData\MData\JUNON\TREE\tree027\tree027.x,
³ÕÄð01,3DData\JUNON\TREE\vine01\vine01.txt,1,,3DData\MData\JUNON\TREE\vine01\vine01.x,
³ÕÄð02,3DData\JUNON\TREE\vine02\vine02.txt,1,,3DData\MData\JUNON\TREE\vine02\vine02.x,
³ÕÄð03,3DData\JUNON\TREE\vine03\vine03.txt,1,,3DData\MData\JUNON\TREE\vine03\vine03.x,
³ÕÄð04,3DData\JUNON\TREE\vine04\vine04.txt,1,,3DData\MData\JUNON\TREE\vine04\vine04.x,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
È­°­¾Ï01,3DData\JUNON\STONE\stone001\stone001.txt,2,,3DData\MData\JUNON\STONE\stone001\stone001.x,»ê¾Ç
È­°­¾Ï02,3DData\JUNON\STONE\stone002\stone002.txt,2,,3DData\MData\JUNON\STONE\stone002\stone002.x,
È­°­¾Ï03,3DData\JUNON\STONE\stone003\stone003.txt,2,,3DData\MData\JUNON\STONE\stone003\stone003.x,
µ¹±âµÕ01,3DData\JUNON\STONE\stone004\stone004.txt,2,,3DData\MData\JUNON\STONE\stone004\stone004.x,
µ¹±âµÕ02,3DData\JUNON\STONE\stone005\stone005.txt,2,,3DData\MData\JUNON\STONE\stone005\stone005.x,
µ¹±âµÕ03,3DData\JUNON\STONE\stone006\stone006.txt,2,,3DData\MData\JUNON\STONE\stone006\stone006.x,
µ¹±âµÕ04,3DData\JUNON\STONE\stone013\stone013.txt,2,,3DData\MData\JUNON\STONE\stone013\stone013.x,
ºÓÀº¹ÙÀ§01,3DData\JUNON\STONE\stone007\stone007.txt,2,,3DData\MData\JUNON\STONE\stone007\stone007.x,
ºÓÀº¹ÙÀ§02,3DData\JUNON\STONE\stone008\stone008.txt,2,,3DData\MData\JUNON\STONE\stone008\stone008.x,
ºÓÀº¹ÙÀ§03,3DData\JUNON\STONE\stone020\stone020.txt,2,,3DData\MData\JUNON\STONE\stone020\stone020.x,
°¥»ö¹ÙÀ§01,3DData\JUNON\STONE\stone009\stone009.txt,2,,3DData\MData\JUNON\STONE\stone009\stone009.x,
°¥»ö¹ÙÀ§02,3DData\JUNON\STONE\stone010\stone010.txt,2,,3DData\MData\JUNON\STONE\stone010\stone010.x,
°¥»ö¹ÙÀ§03,3DData\JUNON\STONE\stone011\stone011.txt,2,,3DData\MData\JUNON\STONE\stone011\stone011.x,
¹àÀº¹ÙÀ§01,3DData\JUNON\STONE\stone012\stone012.txt,2,,3DData\MData\JUNON\STONE\stone012\stone012.x,
¹àÀº¹ÙÀ§02,3DData\JUNON\STONE\stone017\stone017.txt,2,,3DData\MData\JUNON\STONE\stone017\stone017.x,
¹àÀº¹ÙÀ§03,3DData\JUNON\STONE\stone018\stone018.txt,2,,3DData\MData\JUNON\STONE\stone018\stone018.x,
¾ó·è¹ÙÀ§01,3DData\JUNON\STONE\stone014\stone014.txt,2,,3DData\MData\JUNON\STONE\stone014\stone014.x,
¾ó·è¹ÙÀ§02,3DData\JUNON\STONE\stone015\stone015.txt,2,,3DData\MData\JUNON\STONE\stone015\stone015.x,
¹®¾ç¹ÙÀ§01,3DData\JUNON\STONE\stone016\stone016.txt,2,,3DData\MData\JUNON\STONE\stone016\stone016.x,
¹®¾ç¹ÙÀ§02,3DData\JUNON\STONE\stone019\stone019.txt,2,,3DData\MData\JUNON\STONE\stone019\stone019.x,
±¸¸§¹ÙÀ§01,3DData\JUNON\STONE\stone021\stone021.txt,2,,3DData\MData\JUNON\STONE\stone021\stone021.x,
±¸¸§¹ÙÀ§²Å»ç¸®01,3DData\JUNON\STONE\stone021a\stone021a.txt,2,,3DData\MData\JUNON\STONE\stone021a\stone021a.x,
±¸¸§¹ÙÀ§²Å»ç¸®02,3DData\JUNON\STONE\stone021aa\stone021aa.txt,2,,3DData\MData\JUNON\STONE\stone021aa\stone021aa.x,
