,
,
arrow_01.ptl,3DData\\Effect\\Particles\\arrow_01.ptl
arrow_02.ptl,3DData\\Effect\\Particles\\arrow_02.ptl
attackdown_01.ptl,3DData\\Effect\\Particles\\attackdown_01.ptl
attackup_01.ptl,3DData\\Effect\\Particles\\attackup_01.ptl
apear_01.ptl,3DData\\Effect\\Particles\\apear_01.ptl
atspeed_up_01.ptl,3DData\\Effect\\Particles\\atspeed_up_01.ptl
atspeed_down_01.ptl,3DData\\Effect\\Particles\\atspeed_down_01.ptl
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
B_blacksmith01_fire.ptl,3DData\\Effect\\Particles\\B_blacksmith01_fire.ptl
bend_01.ptl,3DData\\Effect\\Particles\\bend_01.ptl
bend_02.ptl,3DData\\Effect\\Particles\\bend_02.ptl
bend_03.ptl,3DData\\Effect\\Particles\\bend_03.ptl
bubble_01.ptl,3DData\\Effect\\Particles\\bubble_01.ptl
bubble_firing_01.ptl,3DData\\Effect\\Particles\\bubble_firing_01.ptl
blast_01.ptl,3DData\\Effect\\Particles\\blast_01.ptl
blast_02.ptl,3DData\\Effect\\Particles\\blast_02.ptl
bow_smoke_01.ptl,3DData\\Effect\\Particles\\bow_smoke_01.ptl
bandy_01.ptl,3DData\\Effect\\Particles\\bandy_01.ptl
bow_fire_hit01.ptl,3DData\\Effect\\Particles\\bow_fire_hit01.ptl
bandy_02.ptl,3DData\\Effect\\Particles\\bandy_02.ptl
bonfire_01.ptl,3DData\\Effect\\Particles\\bonfire_01.ptl
,
,
0,
0,
0,
0,
0,
C_hit_01.ptl,3DData\\Effect\\Particles\\C_hit_01.ptl
casting_01.ptl,3DData\\Effect\\Particles\\casting_01.ptl
criticaldown_01.ptl,3DData\\Effect\\Particles\\criticaldown_01.ptl
criticalup_01.ptl,3DData\\Effect\\Particles\\criticalup_01.ptl
casting_bow_01.ptl,3DData\\Effect\\Particles\\casting_bow_01.ptl
casting_02.ptl,3DData\\Effect\\Particles\\casting_02.ptl
casting_03.ptl,3DData\\Effect\\Particles\\casting_03.ptl
casting_04.ptl,3DData\\Effect\\Particles\\casting_04.ptl
casting_05.ptl,3DData\\Effect\\Particles\\casting_05.ptl
0,
,
defenddown_01.ptl,3DData\\Effect\\Particles\\defenddown_01.ptl
defendup_01.ptl,3DData\\Effect\\Particles\\defendup_01.ptl
dust_01.ptl,3DData\\Effect\\Particles\\dust_01.ptl
0,
0,
0,
0,
0,
0,
0,
0,
env_oceanwave01,3DData\\Effect\\Particles\\env_oceanwave01.ptl
bunsudae01,3DData\\Effect\\Particles\\bunsudae01.ptl
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
env_oceanwave01_badak,3DData\\Effect\\Particles\\env_oceanwave_badak01.ptl
env_oceanwave_top_center.ptl,3DData\\Effect\\Particles\\env_oceanwave_top_center.ptl
env_oceanwave_top_side.ptl,3DData\\Effect\\Particles\\env_oceanwave_top_side.ptl
0,
0,
empty_Rhit01.ptl,3DData\\Effect\\Particles\\empty_Rhit01.ptl
empty_Ghit01.ptl,3DData\\Effect\\Particles\\empty_Ghit01.ptl
